,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
51206,云南省,Yunnan,530000,丽江市,,,1,0,0,2020-01-24 23:55:14.973,2020-01-24,,,
51204,云南省,Yunnan,530000,昆明,Kunming,530100.0,3,0,0,2020-01-24 23:55:14.973,2020-01-24,,,
51205,云南省,Yunnan,530000,西双版纳州,,,1,0,0,2020-01-24 23:55:14.973,2020-01-24,,,
51550,内蒙古自治区,Neimenggu,150000,满洲里,,,1,0,0,2020-01-24 13:04:21.168,2020-01-24,,,
52078,北京市,Beijing,110000,不明地区,,,8,0,0,2020-01-24 07:37:33.464,2020-01-24,,,
51235,北京市,Beijing,110000,丰台,,,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51229,北京市,Beijing,110000,外地来京人员,People from other cities,-1.0,10,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51234,北京市,Beijing,110000,大兴,,,2,1,0,2020-01-24 23:35:03.158,2020-01-24,,,
51233,北京市,Beijing,110000,昌平,,,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51231,北京市,Beijing,110000,朝阳,,,5,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51499,北京市,Beijing,110000,武汉来京人员,,,7,0,0,2020-01-24 15:31:50.348,2020-01-24,,,
51230,北京市,Beijing,110000,海淀,,,6,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51237,北京市,Beijing,110000,石景山,,,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51232,北京市,Beijing,110000,西城,,,4,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51236,北京市,Beijing,110000,通州,,,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51238,北京市,Beijing,110000,顺义,,,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51745,吉林省,Jilin,220000,吉林,,,1,0,0,2020-01-24 10:33:03.715,2020-01-24,,,
51746,吉林省,Jilin,220000,松原,Songyuan,220700.0,1,0,0,2020-01-24 10:33:03.715,2020-01-24,,,
51744,吉林省,Jilin,220000,长春,Changchun,220100.0,1,0,0,2020-01-24 10:33:03.715,2020-01-24,,,
51264,四川省,Sichuan,510000,广安,Guang'an,511600.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51267,四川省,Sichuan,510000,德阳,Deyang,510600.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51263,四川省,Sichuan,510000,成都,Chengdu,510100.0,7,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51265,四川省,Sichuan,510000,绵阳,Mianyang,510700.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51266,四川省,Sichuan,510000,达州,Dazhou,511700.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51268,四川省,Sichuan,510000,遂宁,Suining,510900.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51269,四川省,Sichuan,510000,雅安,Ya'an,511800.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51549,宁夏回族自治区,Ningxia,640000,中卫,Zhongwei,640500.0,1,0,0,2020-01-24 13:07:23.149,2020-01-24,,,
51548,宁夏回族自治区,Ningxia,640000,银川,Yinchuan,640100.0,1,0,0,2020-01-24 13:07:23.149,2020-01-24,,,
51282,安徽省,Anhui,340000,亳州,Bozhou,341600.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51279,安徽省,Anhui,340000,六安,Lu'an,341500.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51278,安徽省,Anhui,340000,合肥,Hefei,340100.0,6,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51283,安徽省,Anhui,340000,安庆,Anqing,340800.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51284,安徽省,Anhui,340000,池州,Chizhou,341700.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51281,安徽省,Anhui,340000,滁州,Chuzhou,341100.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51285,安徽省,Anhui,340000,蚌埠,Bengbu,340300.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51280,安徽省,Anhui,340000,阜阳,Fuyang,341200.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51272,山东省,Shandong,370000,临沂,Linyi,371300.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51271,山东省,Shandong,370000,威海,Weihai,371000.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
